Category,Seq #,Item Label,Item URL
Account Settings,1,Changing time zone settings,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011933
Account Settings,2,"Checking accessibility	",https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011953
Announcements,1,Creating announcements,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010297
Announcements,2,Embedding videos,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010762
Announcements,3,Setting up course notifications,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010110
Assignments,1,Creating assignments,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010070
Assignments,2,Grading assignments,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010095
Assignments,3,Downloading submissions,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010086
Assignments,4,Using TurnItIn,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010328
Assignments,5,Assessing Core IMPACTS,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011997
Attendence and Locations,1,Tracking attendence in iCollege,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011977
Attendence and Locations,2,Checking Webex attendence,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011931
Broken Links,1,Checking accessibility,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011953
Checklists,1,Creating and managing checklists,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010055
Classlist,1,Checking access and emailing students,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010054
Classlist,2,Changing enrollment status,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010051
Classlist,3,Adding students to a non-credit course,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010038
Classlist,4,Adding instructors and TAs to a course,https://gsutech.service-now.com/sp?id=sc_cat_item&sys_id=6dbd8365db501340601b502bdc9619dc
Competencies,1,Grading with competencies,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011919
Competencies,2,Assessing Core IMPACTS,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011997
Content,1,Adding content,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010035
Content,2,"Copying, moving, and deleting content",https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010066
Content,3,Checking accessibility,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011953
Content,4,Sharing Kaltura videos,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010049
Content,5,Adding external learning tools,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010061
Copy Components/Learning Object Repository,1,Copying content between courses,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010056
Copy Components/Learning Object Repository,2,Requesting course template creation,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010797
Course Admin,1,Setting course start and end dates,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010754
Course Admin,2,Copying content between courses,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010056
Course Admin,3,Viewing my course as a student,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010837
Course Admin,4,Learning more about iCollege,https://cetloe.gsu.edu/tool/icollege-digital-learning-environment/
"Course Design Accelerator, Instructional Design Wizard, and Course Builder",1,Learning about iCollege,https://cetloe.gsu.edu/tool/icollege-digital-learning-environment/
"Course Design Accelerator, Instructional Design Wizard, and Course Builder",2,Building a course,https://sites.gsu.edu/icollegenow/
Course Homepage,1,Creating announcements,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010297
Course Homepage,2,Editing your course homepage,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011846
Course Homepage,3,Customizing your course navbar,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011932
Course Homepage,4,Viewing my course as a student,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010837
Course Search,1,Finding and pinning courses,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011922
Course Search,2,Finding crosslisted courses,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010729
Dates and Calendar,1,Setting course start and end dates,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010754
Dates and Calendar,2,Using the iCollege calendar,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010754
Dates and Calendar,3,Creating an assignment,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010070
Dates and Calendar,4,Creating a discussion topic,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011954
Discussions,1,Creating discussion forums and topics,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011954
Discussions,2,Grading discussions,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011827
Discussions,3,Learning more about discussions,https://cetloe.gsu.edu/tool/icollege-discussions/
Edit Homepage and Navbar,1,Editing your course homepage,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011846
Edit Homepage and Navbar,2,Customizing your course navbar,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011932
Edit Quiz,1,Creating quizzes,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011916
Edit Quiz,2,Setting up special access,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010581
Edit Quiz,3,Password protecting quizzes,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010689
Edit Quiz,4,Learning more about quizzes,https://cetloe.gsu.edu/tool/icollege-quizzes/
Email,1,Using iCollege email,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010278
Email,2,Emailing an entire class,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010730
Email,3,Forwarding iCollege email,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010183
Email,4,Configuring email settings,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010106
Entering Grades and Configuring Settings,1,Understanding the Grades tool,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011981
Entering Grades and Configuring Settings,2,Setting up a gradebook,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011967
Entering Grades and Configuring Settings,3,Releasing grades to students,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011927
Entering Grades and Configuring Settings,4,Creating grade exemptions,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011969
Entering Grades and Configuring Settings,5,Learning more about grades in iCollege,https://cetloe.gsu.edu/tool/icollege-grades/#get-started
Export Grades,1,Exporting grades from iCollege,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010755
Export Grades,2,Releasing grades to students,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011927
Export Grades,3,Learning more about grades in iCollege,https://cetloe.gsu.edu/tool/icollege-grades/#get-started
External Learning Tools,1,Adding external learning tools,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010061
External Learning Tools,2,Finding digital teaching tools,https://cetloe.gsu.edu/teaching-technology/
FAQs,1,Creating FAQs,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010067
Generic LTI,1,Adding external learning tools,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010061
Generic LTI,2,Learning more about external learning tools,https://cetloe.gsu.edu/teaching-technology/
Global Homepage,1,Copying content between courses,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010056
Global Homepage,2,Finding and pinning courses,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011922
Global Homepage,3,Setting course start and end dates,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010754
Global Homepage,4,Learning more about iCollege,https://cetloe.gsu.edu/tool/icollege-digital-learning-environment/
Glossary,1,Managing a glossary,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010302
Gradebook Setup,1,Setting up a gradebook,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011967
Gradebook Setup,2,Managing grade items,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011970
Gradebook Setup,3,Choosing a grading system,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011968
Gradebook Setup,4,Learning more about grades in iCollege,https://cetloe.gsu.edu/tool/icollege-grades/#get-started
Grading Quizzes,1,Grading quizzes,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010727
Grading Quizzes,2,Displaying quiz results,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010728
Grading Quizzes,3,Learning more about quizzes,https://cetloe.gsu.edu/tool/icollege-quizzes/
Groups,1,Creating groups,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010068
Groups,2,Enrolling students in groups,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010093
Groups,3,Setting up group evaluations,https://cetloe.gsu.edu/tool/feedbackfruits-group-evaluation/
iLearn,1,Attending upcoming CETLOE workshops,https://cetloe.gsu.edu/workshops-events/
iLearn,2,Finding teaching advancement programs,https://cetloe.gsu.edu/teaching-advancement/
Intelligent Agents,1,Creating intelligent agents,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0012006
Intelligent Agents,2,Learning more about intelligent agents,https://cetloe.gsu.edu/tool/icollege-intelligent-agents/
Kaltura,1,Adding Kaltura media to a course,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010049
Kaltura,2,Adding media to the course gallery,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010725
Kaltura,3,Viewing Kaltura video analytics,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010767
Kaltura,4,Creating a video quiz,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010765
Kaltura,5,Learning more about Kaltura,https://cetloe.gsu.edu/tool/kaltura/
Lockdown,1,Setting up Respondus Lockdown,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010123
Lockdown,2,Learning more about Respondus,https://cetloe.gsu.edu/tool/respondus-lockdown-browser-monitor/
Manage Files,1,Managing files in iCollege,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010285
Manage Quizzes,1,Creating quizzes,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011916
Manage Quizzes,2,Viewing the quiz event log,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010282
Manage Quizzes,3,Grading quizzes,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010727
Manage Quizzes,4,Learning more about quizzes,https://cetloe.gsu.edu/tool/icollege-quizzes/
Notifications,1,Setting up course notifications,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010110
Notifications,2,Optimizing a course for Pulse,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010818
Question Library,1,Creating quizzes,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011916
Question Library,2,Learning more about quizzes,https://cetloe.gsu.edu/tool/icollege-quizzes/
Quick Eval,1,Using Quick Eval,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010773
Quick Eval,2,Grading assignments,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010095
Quick Eval,3,Grading quizzes,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010727
Quick Eval,4,Grading discussions,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011827
Quick Eval,5,Assessing Career-Ready Compentencies,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011997
Rubrics,1,Creating rubrics,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011943
Rubrics,2,Grading assignments,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010095
Rubrics,3,Grading discussions,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011827
Student Progress,1,Tracking student progress,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010299
Surveys,1,Setting up surveys,https://community.d2l.com/brightspace/kb/articles/3674-set-up-surveys
Surveys,2,Tracking survey results,https://community.d2l.com/brightspace/kb/articles/3468-track-survey-progress-and-results
Surveys,3,Using other survey tools,https://cetloe.gsu.edu/tool/qualtrics/
User Profile,1,Changing personal settings,https://community.d2l.com/brightspace/kb/articles/5464-change-your-personal-settings-in-brightspace
User Profile,2,Changing time zone settings,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0011933
Webex,1,Configuring Webex,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010656
Webex,2,Enabling live captioning,https://gsutech.service-now.com/sp?id=kb_article_view&sysparm_article=KB0010806
Webex,3,Setting up Webex Teams,https://gsutech.service-now.com/sp?id=kb_article&sysparm_article=KB0010738
Webex,4,Learning more about Webex,https://cetloe.gsu.edu/tool/webex/
